,Unnamed: 0,Year,Song,Artist,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Popularity
10,10,,Young Boy Blues,JennyAnyKind,5.54e-05,https://api.spotify.com/v1/audio-analysis/0V4226EebEIXSC55naxLmf,0.458,218907,0.57,0V4226EebEIXSC55naxLmf,0.000768,5,0.0988,-9.159,0,0.0495,146.609,4,https://api.spotify.com/v1/tracks/0V4226EebEIXSC55naxLmf,audio_features,spotify:track:0V4226EebEIXSC55naxLmf,0.217,0
11,11,,The Urgency (LP Version),Wayne Watson,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,12,,La Culpa,Andy Andy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,13,,Auguri Cha Cha,Bob Azzam,0.248,https://api.spotify.com/v1/audio-analysis/76AhmOfTWXbCVXkZaDfRY5,0.71,192147,0.438,76AhmOfTWXbCVXkZaDfRY5,0.000167,6,0.367,-11.19,1,0.0332,137.377,4,https://api.spotify.com/v1/tracks/76AhmOfTWXbCVXkZaDfRY5,audio_features,spotify:track:76AhmOfTWXbCVXkZaDfRY5,0.868,0
14,14,1986.0,Tonight Will Be Alright,Lionel Richie,0.0672,https://api.spotify.com/v1/audio-analysis/2Jr12fpsMdIM6weoUDMf9u,0.651,307413,0.816,2Jr12fpsMdIM6weoUDMf9u,0.00548,8,0.0524,-8.24,1,0.0279,125.199,4,https://api.spotify.com/v1/tracks/2Jr12fpsMdIM6weoUDMf9u,audio_features,spotify:track:2Jr12fpsMdIM6weoUDMf9u,0.719,18
15,15,1987.0,Floating,Blue Rodeo,0.496,https://api.spotify.com/v1/audio-analysis/3eS7eHlOBosVccCVHmEj6W,0.735,473973,0.577,3eS7eHlOBosVccCVHmEj6W,0.0401,7,0.344,-7.233,1,0.0267,118.243,4,https://api.spotify.com/v1/tracks/3eS7eHlOBosVccCVHmEj6W,audio_features,spotify:track:3eS7eHlOBosVccCVHmEj6W,0.837,11
16,16,,High Tide,Richard Souther,0.114,https://api.spotify.com/v1/audio-analysis/05N0fj2Alt0efIZ7XZ2m6J,0.647,228533,0.411,05N0fj2Alt0efIZ7XZ2m6J,0.509,8,0.0428,-16.578,1,0.0415,95.807,4,https://api.spotify.com/v1/tracks/05N0fj2Alt0efIZ7XZ2m6J,audio_features,spotify:track:05N0fj2Alt0efIZ7XZ2m6J,0.636,1
17,17,,Sohna Nee Sohna Data,Faiz Ali Faiz,0.308,https://api.spotify.com/v1/audio-analysis/3ukWqBHE8jIlRSKNP99I7X,0.569,599240,0.876,3ukWqBHE8jIlRSKNP99I7X,0.152,6,0.472,-6.505,1,0.0426,99.325,4,https://api.spotify.com/v1/tracks/3ukWqBHE8jIlRSKNP99I7X,audio_features,spotify:track:3ukWqBHE8jIlRSKNP99I7X,0.934,0
18,18,2004.0,Caught In A Dream,Tesla,0.000296,https://api.spotify.com/v1/audio-analysis/4iNtHYpGuqu0iz18QVFhAo,0.558,290333,0.686,4iNtHYpGuqu0iz18QVFhAo,0.000652,7,0.0653,-5.122,1,0.0257,150.095,4,https://api.spotify.com/v1/tracks/4iNtHYpGuqu0iz18QVFhAo,audio_features,spotify:track:4iNtHYpGuqu0iz18QVFhAo,0.357,26
19,19,,Synthetic Dream,lextrical,0.621,https://api.spotify.com/v1/audio-analysis/01rXKwe1sC4OJvI01BmhAL,0.583,168080,0.589,01rXKwe1sC4OJvI01BmhAL,0.89,0,0.139,-6.856,1,0.0298,138.339,4,https://api.spotify.com/v1/tracks/01rXKwe1sC4OJvI01BmhAL,audio_features,spotify:track:01rXKwe1sC4OJvI01BmhAL,0.287,0
20,20,,Broken-Down Merry-Go-Round,Jimmy Wakely,0.913,https://api.spotify.com/v1/audio-analysis/1ARdRjkGB9lVsAzu3TLzws,0.372,151853,0.149,1ARdRjkGB9lVsAzu3TLzws,0,1,0.142,-12.742,1,0.036,171.166,3,https://api.spotify.com/v1/tracks/1ARdRjkGB9lVsAzu3TLzws,audio_features,spotify:track:1ARdRjkGB9lVsAzu3TLzws,0.555,0
21,21,,Kassie Jones,Alice Stuart,0.516,https://api.spotify.com/v1/audio-analysis/27n7ge2DX3ySPii0n4NAHf,0.584,220800,0.41,27n7ge2DX3ySPii0n4NAHf,0.000187,11,0.195,-6.585,1,0.033,110.251,4,https://api.spotify.com/v1/tracks/27n7ge2DX3ySPii0n4NAHf,audio_features,spotify:track:27n7ge2DX3ySPii0n4NAHf,0.503,0
22,22,,Setanta matins,Elena,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,23,2004.0,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,0.0093,https://api.spotify.com/v1/audio-analysis/2ZyNYdziwt0ZS9mxRiwnXM,0.413,207773,0.992,2ZyNYdziwt0ZS9mxRiwnXM,0.000562,9,0.232,-3.923,0,0.375,166.906,4,https://api.spotify.com/v1/tracks/2ZyNYdziwt0ZS9mxRiwnXM,audio_features,spotify:track:2ZyNYdziwt0ZS9mxRiwnXM,0.285,44
24,24,1985.0,James (Hold The Ladder Steady),SUE THOMPSON,0.808,https://api.spotify.com/v1/audio-analysis/1N58xQLv5FZ6LgEfcxVByP,0.74,135160,0.571,1N58xQLv5FZ6LgEfcxVByP,0,10,0.112,-9.961,1,0.0362,138.06,4,https://api.spotify.com/v1/tracks/1N58xQLv5FZ6LgEfcxVByP,audio_features,spotify:track:1N58xQLv5FZ6LgEfcxVByP,0.964,16
25,25,,Made Like This (Live),Five Bolt Main,0.00287,https://api.spotify.com/v1/audio-analysis/6bswgr5zXEgDRfNytZeqzL,0.197,225093,0.988,6bswgr5zXEgDRfNytZeqzL,6.89e-05,7,0.941,-5.486,1,0.28,162.367,4,https://api.spotify.com/v1/tracks/6bswgr5zXEgDRfNytZeqzL,audio_features,spotify:track:6bswgr5zXEgDRfNytZeqzL,0.102,3
26,26,,Superconfidential,Clp,0.0243,https://api.spotify.com/v1/audio-analysis/0hn5qBg7sVqpSN1buPeUp8,0.805,253773,0.873,0hn5qBg7sVqpSN1buPeUp8,0.818,1,0.091,-7.808,1,0.0464,117.999,4,https://api.spotify.com/v1/tracks/0hn5qBg7sVqpSN1buPeUp8,audio_features,spotify:track:0hn5qBg7sVqpSN1buPeUp8,0.774,0
27,27,2005.0,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,0.566,https://api.spotify.com/v1/audio-analysis/5C5ZC5iYJ00ZmTLmEdBCk3,0.624,186440,0.88,5C5ZC5iYJ00ZmTLmEdBCk3,0,5,0.327,-3.152,1,0.0476,135.019,4,https://api.spotify.com/v1/tracks/5C5ZC5iYJ00ZmTLmEdBCk3,audio_features,spotify:track:5C5ZC5iYJ00ZmTLmEdBCk3,0.722,5
28,28,1997.0,Spanish Grease,Willie Bobo,0.3,https://api.spotify.com/v1/audio-analysis/69B68Pfllp2jTX9sKn2hH9,0.796,164119,0.585,69B68Pfllp2jTX9sKn2hH9,3.23e-06,3,0.327,-9.815,1,0.0338,127.252,4,https://api.spotify.com/v1/tracks/69B68Pfllp2jTX9sKn2hH9,audio_features,spotify:track:69B68Pfllp2jTX9sKn2hH9,0.862,43
29,29,1961.0,Crazy Mixed Up World,Faye Adams,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,30,1972.0,Do You Finally Need A Friend,Terry Callier,0.787,https://api.spotify.com/v1/audio-analysis/6rbqQ2lN1TEdKngsLZEpzy,0.353,342587,0.287,6rbqQ2lN1TEdKngsLZEpzy,0,11,0.105,-11.164,1,0.0304,110.011,4,https://api.spotify.com/v1/tracks/6rbqQ2lN1TEdKngsLZEpzy,audio_features,spotify:track:6rbqQ2lN1TEdKngsLZEpzy,0.179,4
31,31,,The Emperor Falls,John Wesley,2.34e-05,https://api.spotify.com/v1/audio-analysis/2dq9mEgzYTlz3GnZrkQM4Z,0.499,485000,0.566,2dq9mEgzYTlz3GnZrkQM4Z,0.233,4,0.106,-15.365,0,0.0327,137.978,4,https://api.spotify.com/v1/tracks/2dq9mEgzYTlz3GnZrkQM4Z,audio_features,spotify:track:2dq9mEgzYTlz3GnZrkQM4Z,0.58,1
32,32,1964.0,Twist and Shout,The Shangri-Las,0.443,https://api.spotify.com/v1/audio-analysis/5UeTwpGgaNEVRoqv7xFQ0j,0.562,200026,0.916,5UeTwpGgaNEVRoqv7xFQ0j,0,5,0.903,-8.781,1,0.27,128.938,4,https://api.spotify.com/v1/tracks/5UeTwpGgaNEVRoqv7xFQ0j,audio_features,spotify:track:5UeTwpGgaNEVRoqv7xFQ0j,0.71,7
33,33,1992.0,It Makes No Difference Now,Billie Jo Spears,0.6,https://api.spotify.com/v1/audio-analysis/56zZgpAcvtBMdlKQrC7l1c,0.626,138027,0.502,56zZgpAcvtBMdlKQrC7l1c,0.000117,4,0.187,-8.863,1,0.0369,80.446,4,https://api.spotify.com/v1/tracks/56zZgpAcvtBMdlKQrC7l1c,audio_features,spotify:track:56zZgpAcvtBMdlKQrC7l1c,0.897,1
34,34,,Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,35,1997.0,¿Dónde va Chichi?,Sierra Maestra,0.0996,https://api.spotify.com/v1/audio-analysis/5DPfEdyjJpt1PpFOKSAcW3,0.536,313133,0.72,5DPfEdyjJpt1PpFOKSAcW3,0.00023,9,0.0502,-9.258,1,0.0386,116.183,4,https://api.spotify.com/v1/tracks/5DPfEdyjJpt1PpFOKSAcW3,audio_features,spotify:track:5DPfEdyjJpt1PpFOKSAcW3,0.839,40
36,36,,"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,0.0437,https://api.spotify.com/v1/audio-analysis/4RlRwnxwwLmsgwUN0PSKEe,0.21,450840,0.897,4RlRwnxwwLmsgwUN0PSKEe,0.681,2,0.362,-8.898,0,0.085,130.473,4,https://api.spotify.com/v1/tracks/4RlRwnxwwLmsgwUN0PSKEe,audio_features,spotify:track:4RlRwnxwwLmsgwUN0PSKEe,0.119,16
37,37,,OUTE ENA EFHARISTO,Despina Vandi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,38,,Midnight Swim,Javier Navarrete,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,39,,In A Subtle Way,Jacob Young,0.797,https://api.spotify.com/v1/audio-analysis/34Y8NQEYnqLS0QnUs6PCKc,0.532,459773,0.174,34Y8NQEYnqLS0QnUs6PCKc,0.841,6,0.108,-19.861,1,0.0382,90.0,4,https://api.spotify.com/v1/tracks/34Y8NQEYnqLS0QnUs6PCKc,audio_features,spotify:track:34Y8NQEYnqLS0QnUs6PCKc,0.636,0
40,40,2007.0,Spin,Scarlet's Remains,6.16e-06,https://api.spotify.com/v1/audio-analysis/0IvHB333LVfPDFlLYorG2C,0.208,198733,0.879,0IvHB333LVfPDFlLYorG2C,0.717,7,0.181,-7.003,1,0.0878,95.926,4,https://api.spotify.com/v1/tracks/0IvHB333LVfPDFlLYorG2C,audio_features,spotify:track:0IvHB333LVfPDFlLYorG2C,0.25,0
41,41,2003.0,Burning In The Aftermath,The Suicide Machines,0.00173,https://api.spotify.com/v1/audio-analysis/0Mog1Cm2y7aEmhiQx3UgHh,0.459,95853,0.999,0Mog1Cm2y7aEmhiQx3UgHh,0,2,0.282,-2.257,1,0.155,115.822,4,https://api.spotify.com/v1/tracks/0Mog1Cm2y7aEmhiQx3UgHh,audio_features,spotify:track:0Mog1Cm2y7aEmhiQx3UgHh,0.15,21
42,42,,Angie (1993 Digital Remaster),The Rolling Stones,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,43,,Sabor Guajiro,Roberto Torres,0.607,https://api.spotify.com/v1/audio-analysis/0cMEy4BifIZNVEAa4ZtBLP,0.763,226667,0.496,0cMEy4BifIZNVEAa4ZtBLP,0,0,0.102,-11.214,1,0.0421,117.551,4,https://api.spotify.com/v1/tracks/0cMEy4BifIZNVEAa4ZtBLP,audio_features,spotify:track:0cMEy4BifIZNVEAa4ZtBLP,0.962,10
44,44,1995.0,Human Cannonball,Loudon Wainwright III,0.807,https://api.spotify.com/v1/audio-analysis/0lPdDLJLEaqiBfyh0qnjO3,0.503,189893,0.182,0lPdDLJLEaqiBfyh0qnjO3,3.8e-05,3,0.0923,-14.824,1,0.0302,102.748,4,https://api.spotify.com/v1/tracks/0lPdDLJLEaqiBfyh0qnjO3,audio_features,spotify:track:0lPdDLJLEaqiBfyh0qnjO3,0.291,6
45,45,2004.0,Glory Be,R.L. Burnside,0.0197,https://api.spotify.com/v1/audio-analysis/2XTHsWwgPQTziAjqn9OiGN,0.749,277773,0.705,2XTHsWwgPQTziAjqn9OiGN,0.139,2,0.172,-7.062,1,0.0303,89.992,4,https://api.spotify.com/v1/tracks/2XTHsWwgPQTziAjqn9OiGN,audio_features,spotify:track:2XTHsWwgPQTziAjqn9OiGN,0.734,31
46,46,1992.0,Crossfire,Stevie Ray Vaughan,0.037,https://api.spotify.com/v1/audio-analysis/5bAOP88AnFD11mTj0HisF2,0.477,249893,0.715,5bAOP88AnFD11mTj0HisF2,0.00852,8,0.0991,-7.81,1,0.0329,116.102,4,https://api.spotify.com/v1/tracks/5bAOP88AnFD11mTj0HisF2,audio_features,spotify:track:5bAOP88AnFD11mTj0HisF2,0.894,47
47,47,2002.0,I Can't Be Satisfied,John Hammond,0.422,https://api.spotify.com/v1/audio-analysis/4orRKt7RWHaArfC6McKHcd,0.651,197147,0.528,4orRKt7RWHaArfC6McKHcd,0.015,0,0.344,-11.555,1,0.04,123.266,4,https://api.spotify.com/v1/tracks/4orRKt7RWHaArfC6McKHcd,audio_features,spotify:track:4orRKt7RWHaArfC6McKHcd,0.909,11
48,48,2006.0,Nashville Parthenon,Casiotone For The Painfully Alone,0.00156,https://api.spotify.com/v1/audio-analysis/49deaC0YW49Q0goAaHAIii,0.809,175733,0.432,49deaC0YW49Q0goAaHAIii,0.685,0,0.0678,-10.871,1,0.0969,141.962,4,https://api.spotify.com/v1/tracks/49deaC0YW49Q0goAaHAIii,audio_features,spotify:track:49deaC0YW49Q0goAaHAIii,0.857,22
49,49,1995.0,Cocain Ducks,Ec8or,0.0205,https://api.spotify.com/v1/audio-analysis/5qqX3y9HHCDJOeSWe2Vkzy,0.46,217227,0.847,5qqX3y9HHCDJOeSWe2Vkzy,0.105,6,0.385,-9.548,1,0.153,95.444,4,https://api.spotify.com/v1/tracks/5qqX3y9HHCDJOeSWe2Vkzy,audio_features,spotify:track:5qqX3y9HHCDJOeSWe2Vkzy,0.164,5
50,50,1974.0,Human Being,The New York Dolls,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,51,2009.0,The More I See You,Eliane Elias,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,52,1997.0,Certain Things We Do,Lost Boyz,0.0112,https://api.spotify.com/v1/audio-analysis/343iM3EtxR7VG6ike05upP,0.693,269723,0.548,343iM3EtxR7VG6ike05upP,0,9,0.0748,-11.17,1,0.2,90.244,4,https://api.spotify.com/v1/tracks/343iM3EtxR7VG6ike05upP,audio_features,spotify:track:343iM3EtxR7VG6ike05upP,0.746,18
53,53,1977.0,Forming,The Germs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,54,,Mafuá,Yamandu Costa,0.945,https://api.spotify.com/v1/audio-analysis/4BcmPOnvvHLz4HP9alWXJq,0.477,191033,0.332,4BcmPOnvvHLz4HP9alWXJq,0.88,2,0.108,-13.546,1,0.0384,106.04,4,https://api.spotify.com/v1/tracks/4BcmPOnvvHLz4HP9alWXJq,audio_features,spotify:track:4BcmPOnvvHLz4HP9alWXJq,0.826,6
55,55,1986.0,Driving Home For Christmas,Chris Rea,0.459,https://api.spotify.com/v1/audio-analysis/5raWkGIrvm5ZkLwvtiPrYV,0.512,234693,0.644,5raWkGIrvm5ZkLwvtiPrYV,0.000129,9,0.18,-9.024,1,0.0391,179.877,4,https://api.spotify.com/v1/tracks/5raWkGIrvm5ZkLwvtiPrYV,audio_features,spotify:track:5raWkGIrvm5ZkLwvtiPrYV,0.839,46
56,56,1966.0,Spooks In Space,Perrey And Kingsley,0.724,https://api.spotify.com/v1/audio-analysis/1uiq5J0ev5HsHSYL2HPwZ0,0.833,125000,0.874,1uiq5J0ev5HsHSYL2HPwZ0,0.0327,8,0.211,-10.585,1,0.322,102.294,4,https://api.spotify.com/v1/tracks/1uiq5J0ev5HsHSYL2HPwZ0,audio_features,spotify:track:1uiq5J0ev5HsHSYL2HPwZ0,0.21,11
57,57,1985.0,Tous Les Garçons Et Les Filles,Eurythmics,0.125,https://api.spotify.com/v1/audio-analysis/5Tl9ea3RgGe6fdXV4L3mlJ,0.587,205347,0.609,5Tl9ea3RgGe6fdXV4L3mlJ,0.000892,0,0.243,-5.129,1,0.0349,140.145,4,https://api.spotify.com/v1/tracks/5Tl9ea3RgGe6fdXV4L3mlJ,audio_features,spotify:track:5Tl9ea3RgGe6fdXV4L3mlJ,0.2,15
58,58,1995.0,Too Much Saturn,Francis Dunnery,0.249,https://api.spotify.com/v1/audio-analysis/6QQvbuTj01JpaESjxm5kMY,0.575,246067,0.825,6QQvbuTj01JpaESjxm5kMY,0,10,0.317,-5.622,1,0.0634,129.82,4,https://api.spotify.com/v1/tracks/6QQvbuTj01JpaESjxm5kMY,audio_features,spotify:track:6QQvbuTj01JpaESjxm5kMY,0.903,11
59,59,1997.0,Movement 4 [from Kiss] (Album Version),John Cale,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,60,,Stream,Suzanne Ciani,0.769,https://api.spotify.com/v1/audio-analysis/7swrwaG4qfEts69IL0Ur4j,0.258,257040,0.423,7swrwaG4qfEts69IL0Ur4j,0.944,7,0.709,-13.771,1,0.0388,104.3,4,https://api.spotify.com/v1/tracks/7swrwaG4qfEts69IL0Ur4j,audio_features,spotify:track:7swrwaG4qfEts69IL0Ur4j,0.244,3
61,61,,Make Me Over,Vickie Winans,0.147,https://api.spotify.com/v1/audio-analysis/6kkWAhTJUjglrO2dyfgs9F,0.794,231867,0.753,6kkWAhTJUjglrO2dyfgs9F,0,11,0.0666,-8.927,0,0.0799,107.988,4,https://api.spotify.com/v1/tracks/6kkWAhTJUjglrO2dyfgs9F,audio_features,spotify:track:6kkWAhTJUjglrO2dyfgs9F,0.689,1
62,62,2000.0,Deform (live),The Berzerker,0.00126,https://api.spotify.com/v1/audio-analysis/10x6TgoIGRvTTMEE4g9VCr,0.273,165616,0.996,10x6TgoIGRvTTMEE4g9VCr,0.0157,2,0.309,-6.068,1,0.399,114.835,4,https://api.spotify.com/v1/tracks/10x6TgoIGRvTTMEE4g9VCr,audio_features,spotify:track:10x6TgoIGRvTTMEE4g9VCr,0.0468,2
63,63,2003.0,Wicker Chair,Kings Of Leon,0.0592,https://api.spotify.com/v1/audio-analysis/3L2vZkWxlGn9Ix3ahwozGF,0.645,187933,0.704,3L2vZkWxlGn9Ix3ahwozGF,0,0,0.17,-5.437,1,0.0309,116.818,4,https://api.spotify.com/v1/tracks/3L2vZkWxlGn9Ix3ahwozGF,audio_features,spotify:track:3L2vZkWxlGn9Ix3ahwozGF,0.474,41
64,64,,An ti chans',Edith Lefel,0.0624,https://api.spotify.com/v1/audio-analysis/46FkE2WIHXovSd7aKqSk69,0.66,277347,0.949,46FkE2WIHXovSd7aKqSk69,0.0943,0,0.213,-4.741,1,0.0458,102.005,4,https://api.spotify.com/v1/tracks/46FkE2WIHXovSd7aKqSk69,audio_features,spotify:track:46FkE2WIHXovSd7aKqSk69,0.911,1
65,65,,I Will Love Again (JJ's Club Radio),Taras,0.000123,https://api.spotify.com/v1/audio-analysis/0HvjwIVLZA23YsAfuQB1pm,0.606,200264,0.887,0HvjwIVLZA23YsAfuQB1pm,0.000908,3,0.352,-6.512,0,0.0291,127.996,4,https://api.spotify.com/v1/tracks/0HvjwIVLZA23YsAfuQB1pm,audio_features,spotify:track:0HvjwIVLZA23YsAfuQB1pm,0.75,0
66,66,1992.0,Stickin In My Eye,NOFX,0.0011,https://api.spotify.com/v1/audio-analysis/46mov5j25a6BXrxNQKUwiA,0.299,144467,0.97,46mov5j25a6BXrxNQKUwiA,0.00752,9,0.0994,-7.494,1,0.0799,153.528,4,https://api.spotify.com/v1/tracks/46mov5j25a6BXrxNQKUwiA,audio_features,spotify:track:46mov5j25a6BXrxNQKUwiA,0.237,55
67,67,,Ota kiinni,Murskahumppa,0.000534,https://api.spotify.com/v1/audio-analysis/6lf2srkPhBqC8yzZYeiWhI,0.254,285347,0.614,6lf2srkPhBqC8yzZYeiWhI,2.53e-06,7,0.0865,-7.642,1,0.0373,127.527,4,https://api.spotify.com/v1/tracks/6lf2srkPhBqC8yzZYeiWhI,audio_features,spotify:track:6lf2srkPhBqC8yzZYeiWhI,0.268,0
68,68,1990.0,Entre Caníbales,Soda Stereo,0.018,https://api.spotify.com/v1/audio-analysis/060aWWmC9CrLqbhzHQifQf,0.634,294147,0.677,060aWWmC9CrLqbhzHQifQf,0.0154,4,0.946,-7.149,0,0.0278,110.919,4,https://api.spotify.com/v1/tracks/060aWWmC9CrLqbhzHQifQf,audio_features,spotify:track:060aWWmC9CrLqbhzHQifQf,0.514,56
69,69,1985.0,Rosemary Recalls,Bruce Rowland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,70,2000.0,Sudanese Dance,Xcultures,0.00503,https://api.spotify.com/v1/audio-analysis/5ngJLwHD19E993QJSuEN3V,0.671,273533,0.802,5ngJLwHD19E993QJSuEN3V,0.0946,1,0.0879,-6.947,1,0.0378,124.975,4,https://api.spotify.com/v1/tracks/5ngJLwHD19E993QJSuEN3V,audio_features,spotify:track:5ngJLwHD19E993QJSuEN3V,0.82,2
71,71,,Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,0.056,https://api.spotify.com/v1/audio-analysis/4jZjaiJXtfaZZKqhrMuJz1,0.695,298778,0.666,4jZjaiJXtfaZZKqhrMuJz1,0.000936,5,0.0752,-10.989,1,0.0691,113.284,4,https://api.spotify.com/v1/tracks/4jZjaiJXtfaZZKqhrMuJz1,audio_features,spotify:track:4jZjaiJXtfaZZKqhrMuJz1,0.362,10
72,72,1997.0,Wanna Be A Player,Heavy D / McGruff,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
